image_id,x,y,w,h,gt_icdas,y_ge1,y_ge2,y_ge3,y_ge4,y_ge5,y_ge6,mask_ge1,mask_ge2,mask_ge3,mask_ge4,mask_ge5,mask_ge6
27.jpg,26,552,148,212,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,112,667,280,177,1,1,0,0,0,0,0,1,1,1,1,1,1
27.jpg,429,397,304,336,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,412,677,247,192,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,684,624,259,342,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,840,473,269,270,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,936,729,222,212,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,1114,407,327,384,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,1443,366,277,383,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,1403,748,128,150,0,0,0,0,0,0,0,1,1,1,1,1,1
27.jpg,1712,323,171,310,3,1,1,1,0,0,0,1,1,1,1,1,1
27.jpg,1867,310,90,221,0,0,0,0,0,0,0,1,1,1,1,1,1
27.jpg,1838,571,79,171,0,0,0,0,0,0,0,1,1,1,1,1,1
27.jpg,1712,627,151,227,1,1,0,0,0,0,0,1,1,1,1,1,1
249.jpg,354,542,146,185,1,1,0,0,0,0,0,1,1,1,1,1,1
249.jpg,464,528,179,258,1,1,0,0,0,0,0,1,1,1,1,1,1
249.jpg,615,487,181,235,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,771,426,240,269,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1016,409,242,282,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1249,491,132,220,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1367,477,144,268,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1503,493,106,205,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,729,678,123,121,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,594,700,108,124,1,1,0,0,0,0,0,1,1,1,1,1,1
249.jpg,452,685,116,177,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,378,700,74,125,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1005,655,113,103,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,881,682,103,62,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1375,663,156,161,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1271,678,98,97,0,0,0,0,0,0,0,1,1,1,1,1,1
249.jpg,1154,683,98,79,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,109,437,39,188,0,0,0,0,0,0,0,1,1,1,1,1,1
159.jpg,143,430,75,224,0,0,0,0,0,0,0,1,1,1,1,1,1
159.jpg,212,432,124,217,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,326,377,234,270,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,559,395,253,256,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,824,462,214,217,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1049,422,208,270,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1257,489,158,193,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1323,691,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1419,505,130,149,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1542,484,107,120,2,1,1,0,0,0,0,1,1,1,1,1,1
159.jpg,175,632,79,130,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,243,626,91,175,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,328,639,133,202,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,458,639,148,188,0,0,0,0,0,0,0,1,1,1,1,1,1
159.jpg,611,636,167,199,0,0,0,0,0,0,0,1,1,1,1,1,1
159.jpg,785,624,170,229,0,0,0,0,0,0,0,1,1,1,1,1,1
159.jpg,966,635,183,231,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1152,636,175,198,1,1,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1306,649,151,118,0,0,0,0,0,0,0,1,1,1,1,1,1
159.jpg,1453,605,191,93,2,1,1,0,0,0,0,1,1,1,1,1,1
6.jpg,967,373,312,338,0,0,0,0,0,0,0,1,1,1,1,1,1
6.jpg,1273,376,242,308,0,0,0,0,0,0,0,1,1,1,1,1,1
