image_id,x,y,w,h,gx,gy,gw,gh,icdas,ic4,y_ge1,y_ge2,y_ge3,y_ge4,y_ge5,y_ge6,mask_ge1,mask_ge2,mask_ge3,mask_ge4,mask_ge5,mask_ge6
8b148305-247.jpg,143.38228187711405,20.710565049946126,234.19117647058832,313.84832425859935,143.38228187711405,20.710565049946126,234.19117647058832,313.84832425859935,3,2,1,0,1,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,184.80392156862737,296.32352941176475,328.18627450980404,302.69607843137254,184.80392156862737,296.32352941176475,328.18627450980404,302.69607843137254,3,2,1,0,1,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,264.46078431372536,581.4950980392157,256.4950980392156,223.0395445819435,264.46078431372536,581.4950980392157,256.4950980392156,223.0395445819435,1,1,1,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,368.01472167436697,726.470588235294,242.1568469530845,251.71568627450964,368.01472167436697,726.470588235294,242.1568469530845,251.71568627450964,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,489.0931372549019,911.2745098039212,197.5490196078431,223.03941302367616,489.0931372549019,911.2745098039212,197.5490196078431,223.03941302367616,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,667.5245098039218,1013.2352941176468,180.02450980392155,143.3823529411765,667.5245098039218,1013.2352941176468,180.02450980392155,143.3823529411765,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,826.8382352941177,1045.0980392156862,164.09313725490208,140.1960784313725,826.8382352941177,1045.0980392156862,164.09313725490208,140.1960784313725,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,995.7107843137256,1046.6911764705883,165.686274509804,124.26470588235298,995.7107843137256,1046.6911764705883,165.686274509804,124.26470588235298,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,1143.8725490196082,998.8970588235296,178.4313725490196,173.65196078431376,1143.8725490196082,998.8970588235296,178.4313725490196,173.65196078431376,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,1299.9999999999998,947.9166666666666,197.54901960784332,223.0392156862747,1299.9999999999998,947.9166666666666,197.54901960784332,223.0392156862747,1,1,1,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,1357.3529411764707,753.5539215686275,246.93627450980387,258.0882352941175,1357.3529411764707,753.5539215686275,246.93627450980387,258.0882352941175,1,1,1,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,1427.4509803921571,587.8676470588235,256.49509803921546,227.8186274509804,1427.4509803921571,587.8676470588235,256.49509803921546,227.8186274509804,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,1500.7352941176475,318.6274509803921,296.3235294117649,332.96568627450984,1500.7352941176475,318.6274509803921,296.3235294117649,332.96568627450984,1,1,1,0,0,0,0,0,1,0,1,0,1,0
8b148305-247.jpg,1621.8137254901958,52.57368289641028,203.92156862745068,294.7302386722171,1621.8137254901958,52.57368289641028,203.92156862745068,294.7302386722171,2,1,1,0,0,0,0,0,1,0,1,0,1,0
25f69e77-229.jpg,92.40196078431372,952.6960784313724,336.15196078431376,277.2058823529412,92.40196078431372,952.6960784313724,336.15196078431376,277.2058823529412,1,1,1,0,0,0,0,0,1,0,1,0,1,0
25f69e77-229.jpg,191.1764705882353,661.1519607843136,348.8970588235294,326.5931372549019,191.1764705882353,661.1519607843136,348.8970588235294,326.5931372549019,3,2,1,0,1,0,0,0,1,0,1,0,1,0
25f69e77-229.jpg,283.57843137254906,474.7549019607843,302.69607843137254,232.59803921568624,283.57843137254906,474.7549019607843,302.69607843137254,232.59803921568624,1,1,1,0,0,0,0,0,1,0,1,0,1,0
25f69e77-229.jpg,353.67647058823525,293.13725490196083,266.0539215686275,237.37745098039207,353.67647058823525,293.13725490196083,266.0539215686275,237.37745098039207,0,0,0,0,0,0,0,0,1,0,1,0,1,0
25f69e77-229.jpg,471.5686274509801,127.45098039215684,197.5490196078431,235.7845549156476,471.5686274509801,127.45098039215684,197.5490196078431,235.7845549156476,0,0,0,0,0,0,0,0,1,0,1,0,1,0
25f69e77-229.jpg,637.2549019607844,173.6519607843137,195.9558823529412,194.3627450980392,637.2549019607844,173.6519607843137,195.9558823529412,194.3627450980392,0,0,0,0,0,0,0,0,1,0,1,0,1,0
